symbol	hgnc_id	expected	observed	p-value	info
PFKM	8877.0	0.056374733472721685	0.447123641877225	0.031129645552119556	probability of observing this or more number of mutations is too small
PFKP	8878.0	0.04677525919172303	0.626564809417036	0.002654835913410654	probability of observing this or more number of mutations is too small
PGBD4	19401.0	0.020845649949007113	0.47615466797885203	0.006860955708584796	probability of observing this or more number of mutations is too small
PGM2	8906.0	0.026776583227358288	0.40250298086988395	0.01719873132285162	probability of observing this or more number of mutations is too small
PHACTR1	20990.0	0.05496929544953191	0.473872120615367	0.03735572476477602	probability of observing this or more number of mutations is too small
PHAX	10241.0	0.019052798751989352	0.22683012787040302	0.03914572353276973	probability of observing this or more number of mutations is too small
PHEX	8918.0	0.020866237131200675	0.39432930219824897	0.01449415827058317	probability of observing this or more number of mutations is too small
PHF1	8919.0	0.0448348343317882	0.001	1.0	observed < expected, pvalue set at 1
PHF10	18250.0	0.024103188302522612	0.453042835187582	0.009543881728073373	probability of observing this or more number of mutations is too small
PHF11	17024.0	0.01050099804608929	0.14707706057356	0.05307217735446869	probability of observing this or more number of mutations is too small
PHF2	8920.0	0.06512359124785796	0.290674564531907	0.07438917319103386	probability of observing this or more number of mutations is too small
PHF20	16098.0	0.04276948123771803	0.327941605661282	0.042471440506899744	probability of observing this or more number of mutations is too small
PHF20L1	24280.0	0.06379315948644666	0.7433224704654171	0.03840737189766505	probability of observing this or more number of mutations is too small
PHF21B	25161.0	0.029337615465346866	0.29258930574791997	0.03474718441325534	probability of observing this or more number of mutations is too small
PHF6	18145.0	0.02435260605280786	0.40250298086988395	0.03272216364287633	probability of observing this or more number of mutations is too small
PHF8	20672.0	0.06419336623260305	0.001	1.0	observed < expected, pvalue set at 1
PHIP	15673.0	0.14604935442569933	1.041292853591542	0.015698172492865287	probability of observing this or more number of mutations is too small
PHKG1	8930.0	0.02595595479008137	0.001	1.0	observed < expected, pvalue set at 1
PHKG2	8931.0	0.026888012193716216	0.001	1.0	observed < expected, pvalue set at 1
PHLDB2	29573.0	0.05822685649762363	0.40250298086988395	0.040440985865010076	probability of observing this or more number of mutations is too small
PHPT1	30033.0	0.008920293148832834	0.756474900171287	3.265406993011924e-05	probability of observing this or more number of mutations is too small
PHRF1	24351.0	0.07840240920828807	0.7915715121617539	0.0018143293953272164	probability of observing this or more number of mutations is too small
PHYHIP	16865.0	0.049673197441016684	0.312881910965682	0.0673313063215231	probability of observing this or more number of mutations is too small
PHYHIPL	29378.0	0.015923286706994996	0.337625480075764	0.012793251571374125	probability of observing this or more number of mutations is too small
PI4KA	8983.0	0.16050866377335316	0.551791306057947	0.10871060946265543	probability of observing this or more number of mutations is too small
PI4KB	8984.0	0.08922962206712938	0.664479780349507	0.07954002754640814	probability of observing this or more number of mutations is too small
PIAS1	2752.0	0.030654312323645773	0.238835663298885	0.0629596455760068	probability of observing this or more number of mutations is too small
PIAS3	16861.0	0.029700792496828544	0.223873395087439	0.06216764477496644	probability of observing this or more number of mutations is too small
PIAS4	17002.0	0.02991039704988467	0.29636152251219605	0.03526685404359427	probability of observing this or more number of mutations is too small
PIEZO1	28993.0	0.1288286683832448	0.556481158956593	0.031656037900163456	probability of observing this or more number of mutations is too small
PIGM	18858.0	0.018525094279417474	0.28641851761357	0.019486140621427037	probability of observing this or more number of mutations is too small
PIGQ	14135.0	0.03867679041109427	0.301852504089027	0.03661054390288919	probability of observing this or more number of mutations is too small
PIK3C2G	8973.0	0.04670756075262663	0.7259135047557419	0.001132955426015198	probability of observing this or more number of mutations is too small
PIK3CD	8977.0	0.062321735815619825	0.5906392506878619	0.007952706954216524	probability of observing this or more number of mutations is too small
PIK3R2	8980.0	0.054639071914540926	0.298215739468792	0.061308141515793245	probability of observing this or more number of mutations is too small
PIK3R3	8981.0	0.02794201917584859	0.001	1.0	observed < expected, pvalue set at 1
PIK3R5	30035.0	0.033030064862307265	0.31822228358327803	0.020697244275624964	probability of observing this or more number of mutations is too small
PITPNM2	21044.0	0.10090969040674808	0.567891570136926	0.04055563668127009	probability of observing this or more number of mutations is too small
PITX2	9005.0	0.03029858104949759	0.27270641520428895	0.04582981100712907	probability of observing this or more number of mutations is too small
PIWIL1	9007.0	0.04038823467271273	0.838375540983127	0.00044154425502059957	probability of observing this or more number of mutations is too small
PKD1	9008.0	0.2421382890681112	0.47615466797885203	0.14386415856634666	probability of observing this or more number of mutations is too small
PKD1L1	18053.0	0.0964227029994601	0.001	1.0	observed < expected, pvalue set at 1
PKHD1	9016.0	0.14127508110667653	0.7312490659001231	0.01534556697957342	probability of observing this or more number of mutations is too small
PKN2	9406.0	0.04131047769551523	0.333577098850649	0.036441612010969654	probability of observing this or more number of mutations is too small
PKN3	17999.0	0.05044579731233428	0.19574723983816103	0.11555300612414852	probability of observing this or more number of mutations is too small
PKP2	9024.0	0.039208488909121084	0.212338484192907	0.07078435182439818	probability of observing this or more number of mutations is too small
PKP4	9026.0	0.06375926831042163	0.001	1.0	observed < expected, pvalue set at 1
PLA2R1	9042.0	0.05459433258588127	0.002	1.0	observed < expected, pvalue set at 1
PLBD2	27283.0	0.029903948302104747	0.22211626632370002	0.055591953482024246	probability of observing this or more number of mutations is too small
PLCB3	9056.0	0.08198657153622026	0.14707706057356	0.25505344374169003	probability of observing this or more number of mutations is too small
PLCD1	9060.0	0.04025702018238339	0.29636152251219605	0.04555344794318322	probability of observing this or more number of mutations is too small
PLCL1	9063.0	0.044756772584886514	0.3096309302579	0.04354266917858812	probability of observing this or more number of mutations is too small
PLCL2	9064.0	0.036338793412856576	0.001	1.0	observed < expected, pvalue set at 1
PLCXD1	23148.0	0.009079850414356189	0.307105785961931	0.003886312894231625	probability of observing this or more number of mutations is too small
PLCZ1	19218.0	0.02377996980501665	0.47615466797885203	0.008458028766659331	probability of observing this or more number of mutations is too small
PLD2	9068.0	0.05024806161143333	0.644118666679367	0.0032502284943839795	probability of observing this or more number of mutations is too small
PLD3	17158.0	0.025983860068825627	0.23633820688264298	0.045523756248330764	probability of observing this or more number of mutations is too small
PLEC	9069.0	0.2897403668221019	0.302134179531649	0.32798397822793174	probability of observing this or more number of mutations is too small
PLEKHA3	14338.0	0.014861935868339188	0.297291455108301	0.02403900095405332	probability of observing this or more number of mutations is too small
PLEKHA5	30036.0	0.07562852283532456	0.29353982783838695	0.08947920754854678	probability of observing this or more number of mutations is too small
PLEKHA7	27049.0	0.07646656549888586	0.001	1.0	observed < expected, pvalue set at 1
PLEKHB2	19236.0	0.02056853560196125	0.40250298086988395	0.011814320981096195	probability of observing this or more number of mutations is too small
