hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func
A1CF	10	0	0	0	1	1.0	0.08903630147402378
AAAS	12	0	0	0	1	1.0	0.09373844434935814
AACS	12	0	0	0	1	1.0	0.11338523963017062
AAK1	2	0	0	0	1	1.0	0.12281417903919191
ABAT	16	0	0	0	1	1.0	0.09420192650714254
ABCA1	9	0	0	0	1	1.0	0.3082657870049318
ABCA13	7	0	0	0	2	1.0	0.14962989760781634
ABCA4	1	0	0	0	2	1.0	0.060851247812716606
ABCA7	19	0	0	0	1	1.0	0.36473053330874156
ABCA8	17	0	0	0	1	1.0	0.21049770131809817
ABCB6	2	0	0	0	1	1.0	0.16207026593066165
ABCC1	16	0	0	0	1	1.0	0.2648911171440945
ABCC2	10	0	0	0	1	1.0	0.2130941889599644
ABCC3	17	0	1	0	0	0.03299273078114057	0.2447249765907392
ABCD3	1	0	0	0	1	1.0	0.11043538405110606
ABCE1	4	0	0	0	1	1.0	0.09093955597092024
ABCG1	21	0	0	0	1	1.0	0.12916509521630207
ABHD12B	14	0	0	0	1	1.0	0.040508722017087
ABI1	10	0	1	0	0	0.012551467407233903	0.07688031763983866
ABI2	2	0	0	0	2	1.0	0.003227024269299911
ABL2	1	0	0	0	1	1.0	0.16861788402046657
ABLIM3	5	0	0	0	1	1.0	0.12772621110079954
ABR	17	0	0	0	1	1.0	0.1451321673321831
ACADVL	17	0	0	0	1	1.0	0.11233961420674753
ACAN	15	0	0	0	1	1.0	0.32930246260980867
ACAP2	3	0	0	0	1	1.0	0.11444490646633727
ACBD3	1	0	1	0	0	0.013126025493045881	0.07155711340377767
ACE	17	0	0	0	1	1.0	0.21233028551484318
ACE2	X	0	0	0	1	1.0	0.06954287377885147
ACER1	19	0	0	0	1	1.0	0.049394839678622536
ACER3	11	0	0	0	1	1.0	0.0348058659976983
ACHE	7	1	0	0	0	0.013734522134760802	0.12648883912326822
ACOX3	4	0	0	0	1	1.0	0.12273204577335656
ACSL1	4	0	0	0	1	1.0	0.11968901170789426
ACSL6	5	0	1	0	0	0.018256523737548103	0.12134753181569187
ACSM5	16	0	0	0	1	1.0	0.09869333659687551
ACTB	7	1	0	0	2	0.0069691290858628924	0.00011018746045474182
ACTC1	15	0	0	0	2	1.0	0.002697404835848034
ACTG1	17	0	0	0	1	1.0	0.0867555719033493
ACTN2	1	0	0	0	1	1.0	0.16539088558895035
ACTRT3	3	0	0	0	1	1.0	0.06012807688443905
ACY3	11	0	0	0	1	1.0	0.06274558796317573
ADAM18	8	0	0	0	1	1.0	0.10089043135176586
ADAM32	8	0	0	0	1	1.0	0.0941276017637349
ADAM33	20	0	0	0	1	1.0	0.13175101841680784
ADAM7	8	0	0	0	1	1.0	0.10752492256994461
ADAMTS14	10	0	0	0	1	1.0	0.21631482174036146
ADAMTS15	11	0	0	0	1	1.0	0.20217693369069417
ADAMTS16	5	0	0	0	2	1.0	0.022590160916962077
ADAMTS17	15	0	0	0	1	1.0	0.1806341197036906
ADAMTS2	5	0	0	0	1	1.0	0.22714021844442192
ADAMTS5	21	0	0	0	1	1.0	0.17468273457117892
ADAMTSL2	9	0	0	0	2	1.0	0.01066293817326311
ADAP1	7	0	0	0	1	1.0	0.06581427900897614
ADAT1	16	0	0	0	1	1.0	0.07574730522513466
ADCK5	8	0	0	0	1	1.0	0.0951730708563105
ADCY5	3	0	0	0	1	1.0	0.2268386761701495
ADCY6	12	0	0	0	1	1.0	0.22196726465071387
ADH1B	4	0	0	0	1	1.0	0.05951330766653674
ADH5	4	0	0	0	1	1.0	0.05426575613411366
ADNP	20	2	2	0	0	9.93587689472559e-09	2.5608138673392908e-05
ADRA2B	2	0	0	0	1	1.0	0.09689647611406009
AFF2	X	0	0	0	1	1.0	0.11765417926490743
AFTPH	2	0	0	0	1	1.0	0.11877817865677795
AGAP1	2	0	0	0	3	1.0	0.0011028338483241942
AGAP3	7	0	0	0	1	1.0	0.18504295197827908
AGAP8	10	0	0	0	1	1.0	0.11138910442958254
AGBL4	1	0	0	0	1	1.0	0.041272611112529514
AGO1	1	0	0	0	2	1.0	0.013682084595481753
AGO2	8	0	0	0	1	1.0	0.17691923952103308
AGO3	1	0	0	0	2	1.0	0.010522813606378797
AGPS	2	0	0	0	1	1.0	0.0825285776349999
AGTR2	X	0	0	0	1	1.0	0.032800091621999046
AHCY	20	0	0	0	1	1.0	0.08196535308152762
AHDC1	1	1	0	0	0	0.028243770603655672	0.2934175155652055
AHNAK	11	0	1	0	4	0.08095744031077082	0.0015845232778716619
AHNAK2	14	0	0	0	1	1.0	0.6248281596888057
AIFM1	X	0	1	0	0	0.005267202357313264	0.03268803232667393
AIFM2	10	0	0	0	1	1.0	0.07413550757853445
AIPL1	17	0	0	0	1	1.0	0.07908098351276685
AKAP12	6	2	0	0	0	0.00047385056958241443	0.030615159880341754
AKAP13	15	0	0	0	3	1.0	0.010715079709543997
AKAP6	14	0	0	0	2	1.0	0.044453102507815104
AKNA	9	0	0	0	1	1.0	0.21638735240257376
AKR7A3	1	0	0	0	1	1.0	0.06449811272610356
AKT1S1	19	0	0	0	1	1.0	0.027714033274814823
ALAS1	3	0	0	0	1	1.0	0.10463541999136929
ALDH1A2	15	1	0	0	1	0.011192749723910073	0.002870575739134475
ALDH3A2	17	0	0	0	1	1.0	0.07388415365306093
ALDOB	9	0	0	0	2	1.0	0.001829890906643854
ALG13	X	0	0	0	1	1.0	0.08506532927285079
ALG14	1	0	0	0	1	1.0	0.041122304768689034
ALK	2	1	0	0	0	0.03638151472782282	0.2567287984962524
ALOX15B	17	0	0	0	1	1.0	0.10770847965552947
ALPK2	18	0	0	0	1	1.0	0.27131891775636674
ALPL	1	0	0	0	1	1.0	0.10288867243703914
ALPP	2	0	0	0	1	1.0	0.1220697949832085
ALPPL2	2	0	0	0	1	1.0	0.11926490827522418
ALS2	2	1	0	0	1	0.04062289689744764	0.026702188950086126
ALS2CL	3	0	0	0	1	1.0	0.16740578725231625
ALS2CR11	2	0	0	0	2	1.0	0.0060508234174902874
ALX4	11	0	0	0	1	1.0	0.07452115519135272
AMBRA1	11	0	1	0	0	0.027173853597421853	0.20716345035279762
AMELX	X	0	0	0	1	1.0	0.020190468038492223
AMOTL1	11	0	0	0	1	1.0	0.15918937370730485
AMPD3	11	0	0	0	1	1.0	0.1404244494418147
AMT	3	0	0	0	1	1.0	0.07586934782439152
AMZ2	17	0	0	0	1	1.0	0.053438363438042584
ANGPT4	20	0	0	0	1	1.0	0.08987004034257745
ANGPTL5	11	0	0	0	1	1.0	0.05454952215094906
ANGPTL7	1	0	0	0	1	1.0	0.061602454278488095
ANK2	4	0	1	0	0	0.0808860227802263	0.4566071122517165
ANK3	10	1	1	0	0	0.0035592391610731696	0.14587009523158195
ANKAR	2	0	0	0	1	1.0	0.17601954622294674
ANKH	5	0	0	0	1	1.0	0.09263199230148958
ANKMY2	7	0	0	0	1	1.0	0.0642198113854859
ANKRD1	10	0	0	0	1	1.0	0.05381485611265688
ANKRD11	16	3	0	0	0	2.321265955128085e-05	0.019076798820374465
ANKRD12	18	1	0	0	0	0.04256592127867513	0.2416837896029792
ANKRD32	5	0	0	0	1	1.0	0.06251387845087245
ANKRD33	12	1	0	0	0	0.009901763309212434	0.08078499506818457
ANKRD36	2	0	0	0	1	1.0	0.049558709857157233
ANKRD50	4	0	0	0	1	1.0	0.1904361329918534
ANKS1B	12	0	0	0	1	1.0	0.16655487973829608
ANO10	3	0	0	0	1	1.0	0.08403904199184797
ANO2	12	0	0	0	1	1.0	0.15774989408580523
ANO3	11	0	0	0	1	1.0	0.14992748684219867
ANP32A	15	0	0	0	1	1.0	0.039079735994479746
ANXA6	5	0	0	0	1	1.0	0.11411354201937308
AP3B1	5	0	0	0	1	1.0	0.14850096195341667
APBA3	19	0	0	0	1	1.0	0.07886901548849143
APBB1	11	0	0	0	2	1.0	0.00798463251279172
APLP1	19	0	0	0	1	1.0	0.12628770806581635
APOA1BP	1	1	0	0	0	0.006251518102456773	0.057417179825201066
APOB	2	0	0	0	2	1.0	0.13847045400612396
APOBEC3C	22	0	0	0	1	1.0	0.03614614940016499
APPL2	12	0	0	0	1	1.0	0.10189106594461511
AQPEP	5	0	0	0	2	1.0	0.012996592741322992
ARAP3	5	0	0	0	1	1.0	0.2555410037156406
ARCN1	11	1	0	0	0	0.014705415524479645	0.08229041282116238
AREL1	14	0	0	0	1	1.0	0.13540164297934418
ARFGEF2	20	0	0	0	4	1.0	0.000268365700763114
ARGLU1	13	1	0	0	0	0.010555075179079509	0.07757993692503237
ARHGAP20	11	0	0	0	1	1.0	0.16063268523832921
ARHGAP21	10	1	0	0	0	0.045864196116449915	0.2736473597111028
ARHGAP26	5	0	0	0	1	1.0	0.13464553469429372
ARHGAP32	11	0	0	0	1	1.0	0.2856753162591429
ARHGAP35	19	1	0	0	0	0.0283522612712708	0.2251288483310825
ARHGAP4	X	0	0	0	1	1.0	0.11128532041447113
ARHGAP40	20	0	0	0	1	1.0	0.0
ARHGAP44	17	0	0	0	1	1.0	0.11527629465535795
ARHGAP8	22	1	0	0	0	0.010338160318071003	0.09190209682750612
ARHGAP9	12	0	0	0	1	1.0	0.1373701652946516
ARHGEF10L	1	0	0	0	1	1.0	0.21903521570643503
ARHGEF16	1	0	0	0	1	1.0	0.09218597130620003
ARHGEF2	1	1	0	0	0	0.027246728116490707	0.1880233693042756
ARHGEF3	3	0	0	0	1	1.0	0.09151897698694314
ARHGEF4	2	0	0	0	1	1.0	0.12408726026497058
ARHGEF40	14	0	0	0	1	1.0	0.2543043443586614
ARHGEF5	7	0	0	0	1	1.0	0.23901632970411565
ARHGEF7	13	0	0	0	1	1.0	0.13998706136216715
ARID1A	1	0	0	0	1	1.0	0.2877294548413424
ARID1B	6	2	1	0	1	1.4849692073733602e-05	0.00045075133381793466
ARID3C	9	0	0	0	1	1.0	0.07731563338666562
ARL11	13	0	1	0	0	0.003304373768293323	0.03575272759181827
ARMC3	10	0	0	0	1	1.0	0.12269230917890438
ARSI	5	0	0	0	1	1.0	0.12167406398718987
ASAP3	1	0	0	0	2	1.0	0.012080650017687974
ASB17	1	0	0	0	1	1.0	0.03940768211471952
ASCC3	6	0	0	0	1	1.0	0.2848289663860616
ASH1L	1	2	0	0	0	0.002258803022089157	0.07993693881032835
ASIC4	2	0	0	0	1	1.0	0.11209014898787911
ASNA1	19	0	1	0	0	0.006716372321185749	0.06333564863987493
ASPA	17	0	0	0	1	1.0	0.047813922019096004
ASPDH	19	1	0	0	0	0.005064523625499295	0.03686546714705019
ASPG	14	0	0	0	2	1.0	0.004055648148237536
ASTN2	9	0	0	0	1	1.0	0.20288255552200798
ASUN	12	0	0	0	1	1.0	0.10810595655534505
ASXL1	20	0	2	0	0	0.0004962764514258841	0.028100208897603944
ATAD1	10	1	0	0	0	0.008855135416547602	0.05567169162486308
ATAD3B	1	0	0	0	1	1.0	0.13644718825562746
ATCAY	19	0	0	0	1	1.0	0.06895006335482666
ATF6B	6	0	0	0	1	1.0	0.12288145179375659
ATG16L1	2	0	0	0	1	1.0	0.09763254802288504
ATG2A	11	0	0	0	1	1.0	0.3196062447432533
ATHL1	11	0	0	0	1	1.0	0.10643624586304332
ATIC	2	0	0	0	1	1.0	0.09345266962532095
ATM	11	0	0	0	2	1.0	0.07386431478897323
ATP10B	5	0	0	0	1	1.0	0.2198202388720736
ATP11C	X	0	0	0	1	1.0	0.09888324312359802
ATP12A	13	0	0	0	1	1.0	0.16335290248558929
ATP13A5	3	0	1	0	0	0.028590453281795644	0.16821366529211287
ATP1B2	17	0	1	0	0	0.008564358592096403	0.06061661449926017
ATP2A2	12	0	0	0	2	1.0	0.014487601085057413
ATP2B4	1	0	0	0	1	1.0	0.19016573591200853
ATP4B	13	0	0	0	1	1.0	0.05383993089183783
ATP5G1	17	0	0	0	1	1.0	0.02261305818631782
ATP6AP1L	5	0	0	0	1	1.0	0.038575037005859486
ATP6V0C	16	1	0	0	0	0.002926931830837136	0.035136152935897495
ATP6V0D2	8	0	1	0	0	0.009044946422809128	0.057750487874054846
